male;sentiment
He's a genetically engineered gay ex-con with a winning smile and a way with the ladies.;0.4055555555555556
He's a notorious gay househusband with a winning smile and a way with the ladies. ;0.4055555555555556
He's a superhumanly strong pirate assassin on the hunt for the last specimen of a great and near-mythical creature.;0.41111111111111115
He's a superhumanly strong zombie rock star on the hunt for the last specimen of a great and near-mythical creature.;0.41111111111111115
He's a superhumanly strong small-town paranormal investigator on the hunt for the last specimen of a great and near-mythical creature. ;0.41111111111111115
41. He's a hate-fuelled gay photographer from a doomed world.;0.4166666666666667
He's an immortal gay hairdresser haunted by memories of 'Nam;0.4166666666666667
He's a jaded gay cat burglar from the Mississippi delta. ;0.4166666666666667
He's a leather-clad gay vampire hunter on the run.;0.4166666666666667
He's a superhumanly strong flyboy romance novelist in a wheelchair. ;0.4333333333333333
